"cow","year","terrorinclead","terrorinc","totspendrevlog","transferslog","welfarelog","poplog","democ","govcap","conflict","govleft","tradelog","europe","africa","asia","america","gdppclog","totspendrevper","welfarepercent","transfersper"
2,1975,52,70,-1.71758008003235,-2.33924889564514,-1.7731339931488,19.1906604766846,10,1.28864336013794,1,0,2.78163385391235,0,0,0,1,9.00724411010742,17.9500007629395,16.9799995422363,9.64000129699707
2,1976,48,52,-1.76550710201263,-2.33098459243774,NA,19.2001705169678,10,1.27742874622345,0,0,2.8114697933197,0,0,0,1,9.06473636627197,17.1100006103516,NA,9.72000026702881
2,1977,37,48,-1.69663107395172,-2.37838673591614,NA,19.2102203369141,10,1.29887008666992,0,1,2.83148956298828,0,0,0,1,9.13291931152344,18.3299999237061,NA,9.27000045776367
2,1978,40,37,-1.70429825782776,-2.39579749107361,NA,19.2208194732666,10,1.32496476173401,0,1,2.86343717575073,0,0,0,1,9.25004196166992,18.189998626709,NA,9.10999965667725
2,1979,67,40,-1.65495836734772,-2.40683507919312,NA,19.2318592071533,10,1.33941805362701,0,1,2.94125652313232,0,0,0,1,9.38117980957031,19.1100006103516,NA,9.01000022888184
2,1980,44,67,-1.62913060188293,-2.32176780700684,-1.80727934837341,19.2414493560791,10,1.27736294269562,0,1,3.02978444099426,0,0,0,1,9.47378063201904,19.6100006103516,16.4099998474121,9.81000137329102
2,1981,48,44,-1.58279597759247,-2.28474521636963,-1.79878413677216,19.2512607574463,10,1.31567740440369,0,0,2.99637603759766,0,0,0,1,9.54165554046631,20.5400009155273,16.5499992370605,10.1799993515015
2,1982,12,48,-1.59208929538727,-2.22933459281921,-1.75273108482361,19.260799407959,10,1.27874672412872,0,0,2.89936828613281,0,0,0,1,9.51907444000244,20.3500003814697,17.3299999237061,10.7600002288818
2,1983,9,12,-1.68254637718201,-2.20002841949463,-1.73670327663422,19.2699394226074,10,1.29746854305267,1,0,2.85063076019287,0,0,0,1,9.55471038818359,18.5900001525879,17.6100006103516,11.0800008773804
2,1984,7,9,-1.69227612018585,-2.29164528846741,-1.80362963676453,19.278600692749,10,1.30832707881927,0,0,2.9001784324646,0,0,0,1,9.6577787399292,18.4099998474121,16.4699993133545,10.1099987030029
2,1985,14,7,-1.66389405727386,-2.32074904441833,-1.9241486787796,19.2874603271484,10,1.3144828081131,0,0,2.84799242019653,0,0,0,1,9.73536491394043,18.9400005340576,14.5999994277954,9.81999969482422
2,1986,5,14,-1.68147110939026,-2.33510828018188,-1.81769275665283,19.2966995239258,10,1.35352504253387,0,0,2.86289381980896,0,0,0,1,9.83252811431885,18.6100006103516,16.2400016784668,9.68000030517578
2,1987,4,5,-1.64041268825531,-2.35387849807739,-1.94142019748688,19.3056392669678,10,1.33967077732086,0,0,2.92270946502686,0,0,0,1,9.93909645080566,19.3900012969971,14.3500003814697,9.49999904632568
2,1988,8,4,-1.65757834911346,-2.3816282749176,-1.95052075386047,19.3147201538086,10,1.32097434997559,0,0,2.98362827301025,0,0,0,1,10.0261001586914,19.0599994659424,14.2200012207031,9.23999977111816
2,1989,14,8,-1.64765918254852,-2.40019798278809,-1.96041488647461,19.3241691589355,10,1.25768625736237,1,0,3.00557422637939,0,0,0,1,10.048150062561,19.25,14.0799999237061,9.06999969482422
2,1990,8,14,-1.66547930240631,-2.18480205535889,-1.81155407428741,19.3347301483154,10,1.19643461704254,0,0,3.02624893188477,0,0,0,1,10.0625,18.9099998474121,16.3400001525879,11.25
2,1991,5,8,-1.6675968170166,-2.09882831573486,NA,19.3457508087158,10,1.15582430362701,1,0,3.02739715576172,0,0,0,1,10.0702695846558,18.8700008392334,NA,12.2599992752075
2,1992,8,5,-1.69119036197662,-2.04639363288879,-1.70594882965088,19.3572406768799,10,1.11294221878052,0,0,3.03491115570068,0,0,0,1,10.129469871521,18.4300003051758,18.1599998474121,12.9200010299683
2,1993,2,8,-1.66653752326965,-2.03179478645325,-1.70374858379364,19.3691902160645,10,1.09733748435974,0,1,3.04103779792786,0,0,0,1,10.164119720459,18.8899993896484,18.1999988555908,13.1100015640259
